id_lims,matrice,analita,parametro,livello,minimo,massimo,valore_misurato,udm
,terreno,"2,3,7,8-TCDD",LOQ,,,,0.04,ng/kg
,terreno,"2,3,7,8-TCDD",Intervallo di lavoro,,0.02,40,,ng/ml
,terreno,"2,3,7,8-TCDD",Intervallo di lavoro,,0.04,80,,ng/kg
,terreno,"2,3,7,8-TCDD",Intervallo di linearità,,0.02,40,,ng/ml
,terreno,"2,3,7,8-TCDD",Intervallo di linearità,,0.04,80,,ng/kg
Tx23a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0432,ng/kg
Tx24a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0401,ng/kg
Tx25a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0442,ng/kg
Tx26a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0396,ng/kg
Tx27a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0423,ng/kg
Tx28a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.04,,,0.0398,ng/kg
Tx2xa-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.201,ng/kg
Tx30a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.186,ng/kg
Tx31a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.199,ng/kg
Tx32a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.188,ng/kg
Tx33a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.191,ng/kg
Tx34a-2025,terreno,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.192,ng/kg
,sedimento,"2,3,7,8-TCDD",LOQ,,,,0.05,pg/g
,sedimento,"2,3,7,8-TCDD",Intervallo di lavoro,,0.03,40,,ng/ml
,sedimento,"2,3,7,8-TCDD",Intervallo di lavoro,,0.05,80,,ng/kg
,sedimento,"2,3,7,8-TCDD",Intervallo di linearità,,0.03,40,,ng/ml
,sedimento,"2,3,7,8-TCDD",Intervallo di linearità,,0.05,80,,ng/kg
Sx23i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.05,,,0.0532,ng/kg
Sx24i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.05,,,0.0501,ng/kg
Sx25i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.05,,,0.0542,ng/kg
Sx26i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.05,,,0.0496,ng/kg
Sx27i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.05,,,0.0523,ng/kg
Sx28i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.05,,,0.0498,ng/kg
Sx2xi-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.201,ng/kg
Sx30i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.186,ng/kg
Sx31i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.199,ng/kg
Sx32i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.188,ng/kg
Sx33i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.191,ng/kg
Sx34i-2025,sedimento,"2,3,7,8-TCDD",Precisione ed giustezza,0.2,,,0.192,ng/kg
,terreno,"2,3,7,8-TCDF",LOQ,,,,0.04,ng/kg
,terreno,"2,3,7,8-TCDF",Intervallo di lavoro,,0.02,40,,ng/ml
,terreno,"2,3,7,8-TCDF",Intervallo di lavoro,,0.04,80,,ng/kg
,terreno,"2,3,7,8-TCDF",Intervallo di linearità,,0.02,40,,ng/ml
,terreno,"2,3,7,8-TCDF",Intervallo di linearità,,0.04,80,,ng/kg
Tx23a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.04,,,0.0386,ng/kg
Tx24a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.04,,,0.0412,ng/kg
Tx25a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.04,,,0.0405,ng/kg
Tx26a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.04,,,0.0398,ng/kg
Tx27a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.04,,,0.0379,ng/kg
Tx28a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.04,,,0.0372,ng/kg
Tx2xa-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.203,ng/kg
Tx30a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.206,ng/kg
Tx31a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.169,ng/kg
Tx32a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.166,ng/kg
Tx33a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.194,ng/kg
Tx34a-2025,terreno,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.178,ng/kg
,sedimento,"2,3,7,8-TCDF",LOQ,,,,0.04,ng/kg
,sedimento,"2,3,7,8-TCDF",Intervallo di lavoro,,0.03,40,,ng/ml
,sedimento,"2,3,7,8-TCDF",Intervallo di lavoro,,0.05,80,,ng/kg
,sedimento,"2,3,7,8-TCDF",Intervallo di linearità,,0.03,40,,ng/ml
,sedimento,"2,3,7,8-TCDF",Intervallo di linearità,,0.05,80,,ng/kg
Sx23i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.05,,,0.0486,ng/kg
Sx24i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.05,,,0.0512,ng/kg
Sx25i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.05,,,0.0505,ng/kg
Sx26i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.05,,,0.0498,ng/kg
Sx27i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.05,,,0.0479,ng/kg
Sx28i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.05,,,0.0472,ng/kg
Sx2xi-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.203,ng/kg
Sx30i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.206,ng/kg
Sx31i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.169,ng/kg
Sx32i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.166,ng/kg
Sx33i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.194,ng/kg
Sx34i-2025,sedimento,"2,3,7,8-TCDF",Precisione ed giustezza,0.2,,,0.178,ng/kg
,terreno,"1,2,3,7,8-PeCDD",LOQ,,,,0.2,ng/kg
,terreno,"1,2,3,7,8-PeCDD",Intervallo di lavoro,,0.1,200,,ng/ml
,terreno,"1,2,3,7,8-PeCDD",Intervallo di lavoro,,0.2,400,,ng/kg
,terreno,"1,2,3,7,8-PeCDD",Intervallo di linearità,,0.1,200,,ng/ml
,terreno,"1,2,3,7,8-PeCDD",Intervallo di linearità,,0.2,400,,ng/kg
Tx23a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.2,,,0.187,ng/kg
Tx24a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.2,,,0.221,ng/kg
Tx25a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.2,,,0.213,ng/kg
Tx26a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.2,,,0.225,ng/kg
Tx27a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.2,,,0.183,ng/kg
Tx28a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.2,,,0.195,ng/kg
Tx2xa-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,0.962,ng/kg
Tx30a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,0.981,ng/kg
Tx31a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,1.050,ng/kg
Tx32a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,1.020,ng/kg
Tx33a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,1.040,ng/kg
Tx34a-2025,terreno,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,0.954,ng/kg
,sedimento,"1,2,3,7,8-PeCDD",LOQ,,,,0.2,ng/kg
,sedimento,"1,2,3,7,8-PeCDD",Intervallo di lavoro,,0.2,150,,ng/ml
,sedimento,"1,2,3,7,8-PeCDD",Intervallo di lavoro,,0.4,300,,ng/kg
,sedimento,"1,2,3,7,8-PeCDD",Intervallo di linearità,,0.2,150,,ng/ml
,sedimento,"1,2,3,7,8-PeCDD",Intervallo di linearità,,0.4,300,,ng/kg
Sx23i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.4,,,0.387,ng/kg
Sx24i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.4,,,0.421,ng/kg
Sx25i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.4,,,0.413,ng/kg
Sx26i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.4,,,0.425,ng/kg
Sx27i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.4,,,0.383,ng/kg
Sx28i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,0.4,,,0.395,ng/kg
Sx2xi-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,0.962,ng/kg
Sx30i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,0.981,ng/kg
Sx31i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,1.050,ng/kg
Sx32i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,1.020,ng/kg
Sx33i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,1.040,ng/kg
Sx34i-2025,sedimento,"1,2,3,7,8-PeCDD",Precisione ed giustezza,1,,,0.954,ng/kg
,terreno,"1,2,3,7,8-PeCDF",LOQ,,,,0.2,ng/kg
,terreno,"1,2,3,7,8-PeCDF",Intervallo di lavoro,,0.1,200,,ng/ml
,terreno,"1,2,3,7,8-PeCDF",Intervallo di lavoro,,0.2,400,,ng/kg
,terreno,"1,2,3,7,8-PeCDF",Intervallo di linearità,,0.1,200,,ng/ml
,terreno,"1,2,3,7,8-PeCDF",Intervallo di linearità,,0.2,400,,ng/kg
Tx23a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.195,ng/kg
Tx24a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.183,ng/kg
Tx25a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.213,ng/kg
Tx26a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.187,ng/kg
Tx27a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.225,ng/kg
Tx28a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.221,ng/kg
Tx2xa-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,1.040,ng/kg
Tx30a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,0.981,ng/kg
Tx31a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,1.050,ng/kg
Tx32a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,0.962,ng/kg
Tx33a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,0.954,ng/kg
Tx34a-2025,terreno,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,1.020,ng/kg
,sedimento,"1,2,3,7,8-PeCDF",LOQ,,,,0.2,ng/kg
,sedimento,"1,2,3,7,8-PeCDF",Intervallo di lavoro,,0.2,150,,ng/ml
,sedimento,"1,2,3,7,8-PeCDF",Intervallo di lavoro,,0.4,300,,ng/kg
,sedimento,"1,2,3,7,8-PeCDF",Intervallo di linearità,,0.2,150,,ng/ml
,sedimento,"1,2,3,7,8-PeCDF",Intervallo di linearità,,0.4,300,,ng/kg
Sx23i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.395,ng/kg
Sx24i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.383,ng/kg
Sx25i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.413,ng/kg
Sx26i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.387,ng/kg
Sx27i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.425,ng/kg
Sx28i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.421,ng/kg
Sx2xi-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,1.040,ng/kg
Sx30i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,0.981,ng/kg
Sx31i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,1.050,ng/kg
Sx32i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,0.962,ng/kg
Sx33i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,0.954,ng/kg
Sx34i-2025,sedimento,"1,2,3,7,8-PeCDF",Precisione ed giustezza,1,,,1.020,ng/kg
,terreno,"2,3,4,7,8-PeCDF",LOQ,,,,0.2,ng/kg
,terreno,"2,3,4,7,8-PeCDF",Intervallo di lavoro,,0.1,200,,ng/ml
,terreno,"2,3,4,7,8-PeCDF",Intervallo di lavoro,,0.2,400,,ng/kg
,terreno,"2,3,4,7,8-PeCDF",Intervallo di linearità,,0.1,200,,ng/ml
,terreno,"2,3,4,7,8-PeCDF",Intervallo di linearità,,0.2,400,,ng/kg
Tx23a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.203,ng/kg
Tx24a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.209,ng/kg
Tx25a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.193,ng/kg
Tx26a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.188,ng/kg
Tx27a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.211,ng/kg
Tx28a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.2,,,0.185,ng/kg
Tx2xa-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,0.951,ng/kg
Tx30a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,1.080,ng/kg
Tx31a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,1.070,ng/kg
Tx32a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,0.912,ng/kg
Tx33a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,0.897,ng/kg
Tx34a-2025,terreno,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,1.030,ng/kg
,sedimento,"2,3,4,7,8-PeCDF",LOQ,,,,0.2,ng/kg
,sedimento,"2,3,4,7,8-PeCDF",Intervallo di lavoro,,0.2,150,,ng/ml
,sedimento,"2,3,4,7,8-PeCDF",Intervallo di lavoro,,0.4,300,,ng/kg
,sedimento,"2,3,4,7,8-PeCDF",Intervallo di linearità,,0.2,150,,ng/ml
,sedimento,"2,3,4,7,8-PeCDF",Intervallo di linearità,,0.4,300,,ng/kg
Sx23i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.403,ng/kg
Sx24i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.409,ng/kg
Sx25i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.393,ng/kg
Sx26i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.388,ng/kg
Sx27i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.411,ng/kg
Sx28i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,0.4,,,0.385,ng/kg
Sx2xi-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,0.951,ng/kg
Sx30i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,1.080,ng/kg
Sx31i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,1.070,ng/kg
Sx32i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,0.912,ng/kg
Sx33i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,0.897,ng/kg
Sx34i-2025,sedimento,"2,3,4,7,8-PeCDF",Precisione ed giustezza,1,,,1.030,ng/kg
,terreno,"1,2,3,4,7,8-HxCDD",LOQ,,,,0.2,ng/kg
,terreno,"1,2,3,4,7,8-HxCDD",Intervallo di lavoro,,0.1,200,,ng/ml
,terreno,"1,2,3,4,7,8-HxCDD",Intervallo di lavoro,,0.2,400,,ng/kg
,terreno,"1,2,3,4,7,8-HxCDD",Intervallo di linearità,,0.1,200,,ng/ml
,terreno,"1,2,3,4,7,8-HxCDD",Intervallo di linearità,,0.2,400,,ng/kg
Tx23a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.2,,,0.223,ng/kg
Tx24a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.2,,,0.238,ng/kg
Tx25a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.2,,,0.233,ng/kg
Tx26a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.2,,,0.218,ng/kg
Tx27a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.2,,,0.240,ng/kg
Tx28a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.2,,,0.216,ng/kg
Tx2xa-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,0.923,ng/kg
Tx30a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,1.040,ng/kg
Tx31a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,1.080,ng/kg
Tx32a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,0.908,ng/kg
Tx33a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,1.090,ng/kg
Tx34a-2025,terreno,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,0.962,ng/kg
,sedimento,"1,2,3,4,7,8-HxCDD",LOQ,,,,0.2,ng/kg
,sedimento,"1,2,3,4,7,8-HxCDD",Intervallo di lavoro,,0.2,150,,ng/ml
,sedimento,"1,2,3,4,7,8-HxCDD",Intervallo di lavoro,,0.4,300,,ng/kg
,sedimento,"1,2,3,4,7,8-HxCDD",Intervallo di linearità,,0.2,150,,ng/ml
,sedimento,"1,2,3,4,7,8-HxCDD",Intervallo di linearità,,0.4,300,,ng/kg
Sx23i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.4,,,0.423,ng/kg
Sx24i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.4,,,0.438,ng/kg
Sx25i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.4,,,0.433,ng/kg
Sx26i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.4,,,0.418,ng/kg
Sx27i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.4,,,0.440,ng/kg
Sx28i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,0.4,,,0.416,ng/kg
Sx2xi-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,0.923,ng/kg
Sx30i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,1.040,ng/kg
Sx31i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,1.080,ng/kg
Sx32i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,0.908,ng/kg
Sx33i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,1.090,ng/kg
Sx34i-2025,sedimento,"1,2,3,4,7,8-HxCDD",Precisione ed giustezza,1,,,0.962,ng/kg
,terreno,"1,2,3,4,7,8-HxCDF",LOQ,,,,0.2,ng/kg
,terreno,"1,2,3,4,7,8-HxCDF",Intervallo di lavoro,,0.1,200,,ng/ml
,terreno,"1,2,3,4,7,8-HxCDF",Intervallo di lavoro,,0.2,400,,ng/kg
,terreno,"1,2,3,4,7,8-HxCDF",Intervallo di linearità,,0.1,200,,ng/ml
,terreno,"1,2,3,4,7,8-HxCDF",Intervallo di linearità,,0.2,400,,ng/kg
Tx23a-2025,terreno,"1,2,3,4,7,8-HxCDF",Precisione ed giustezza,0.2,,,0.192,ng/kg
Tx24a-2025,terreno,"1,2,3,4,7,8-HxCDF",Precisione ed giustezza,0.2,,,0.193,ng/kg
